symbol,scenario,n_features,fold,split,n_rows,mae,rmse,r2
AAPL,PRICE_ONLY,5,0,test,121,0.008540238623970768,0.011365862939365113,-0.673793158262201
AAPL,PRICE+TECH,30,0,test,121,0.006964373931318112,0.009174565097079835,-0.09060612429152659
AAPL,PRICE+TECH+LAG,35,0,test,121,0.00682283588328382,0.009017221973193074,-0.05351926200825341
AAPL,ALL_NO_MACRO,43,0,test,121,0.00679721361144108,0.00900757421848092,-0.0512660940053542
AAPL,ALL_NO_REGIME,48,0,test,121,0.006902396805444254,0.009279834352607718,-0.11577700593141071
AAPL,ALL_FULL,56,0,test,121,0.006788941551280007,0.009119311195228979,-0.07750931061579602
AAPL,PRICE_ONLY,5,1,test,121,0.005530699731233896,0.0064865473610155894,-0.06844420426805509
AAPL,PRICE+TECH,30,1,test,121,0.020259369282256124,0.021683679310401473,-10.9396229511525
AAPL,PRICE+TECH+LAG,35,1,test,121,0.019967019770342823,0.021349684719804293,-10.574642678624743
AAPL,ALL_NO_MACRO,43,1,test,121,0.01454028880227034,0.01593230592318909,-5.445875820313407
AAPL,ALL_NO_REGIME,48,1,test,121,0.015132123849557453,0.016373621145846128,-5.807915170976423
AAPL,ALL_FULL,56,1,test,121,0.012401748436870271,0.013798970898943627,-3.8352402546582285
AAPL,PRICE_ONLY,5,2,test,121,0.005939061867638944,0.006879181368247966,-0.29035277280350535
AAPL,PRICE+TECH,30,2,test,121,0.014001069814147067,0.015588292031818595,-5.625703641656081
AAPL,PRICE+TECH+LAG,35,2,test,121,0.013826832781543357,0.015386221250837058,-5.455039236716408
AAPL,ALL_NO_MACRO,43,2,test,121,0.011018041600397311,0.012242120036005614,-3.0864689844101516
AAPL,ALL_NO_REGIME,48,2,test,121,0.01080211174783621,0.011989243735140855,-2.919390345991616
AAPL,ALL_FULL,56,2,test,121,0.009032283293221926,0.010136152518015959,-1.8014392781493203
AAPL,PRICE_ONLY,5,3,test,121,0.014418610616310603,0.01490012622540177,-14.589491104096542
AAPL,PRICE+TECH,30,3,test,121,0.013782814328582825,0.01436342100307137,-13.486645203238298
AAPL,PRICE+TECH+LAG,35,3,test,121,0.014162351487517379,0.014759972020249899,-14.297593344626629
AAPL,ALL_NO_MACRO,43,3,test,121,0.013117830633430546,0.01374028007038753,-12.256937649266636
AAPL,ALL_NO_REGIME,48,3,test,121,0.012950870381222487,0.013543764179617385,-11.880443299464458
AAPL,ALL_FULL,56,3,test,121,0.012146436140051058,0.012820370472582871,-10.541259179013812
AAPL,PRICE_ONLY,5,4,test,121,0.008593611186785952,0.009524844923925666,-2.3126059375420445
AAPL,PRICE+TECH,30,4,test,121,0.008717646693764318,0.009767321154341117,-2.4834123269878776
AAPL,PRICE+TECH+LAG,35,4,test,121,0.008744183061304305,0.00984188923927569,-2.536803202765098
AAPL,ALL_NO_MACRO,43,4,test,121,0.007755991620249319,0.008867599339043474,-1.8712173755283708
AAPL,ALL_NO_REGIME,48,4,test,121,0.0077724790247731355,0.008896504599633462,-1.8899662043285899
AAPL,ALL_FULL,56,4,test,121,0.007457158173400191,0.00853388627480807,-1.6591794803783886
AAPL,PRICE_ONLY,5,5,test,121,0.004966480729583893,0.006262340587344984,-0.01197862035880548
AAPL,PRICE+TECH,30,5,test,121,0.004871324627171321,0.006150907643496863,0.023715527152013527
AAPL,PRICE+TECH+LAG,35,5,test,121,0.004894419489745409,0.006149184680431016,0.024262394897305528
AAPL,ALL_NO_MACRO,43,5,test,121,0.004887144221101891,0.006294667397108121,-0.022453450468261416
AAPL,ALL_NO_REGIME,48,5,test,121,0.005102363277361158,0.006488690085881915,-0.0864557271277766
AAPL,ALL_FULL,56,5,test,121,0.005198517065731546,0.006595925907738581,-0.12266325186798199
AAPL,PRICE_ONLY,5,6,test,121,0.0072043094622940415,0.008839178142494563,-0.563300069855754
AAPL,PRICE+TECH,30,6,test,121,0.004915035099045198,0.006259889030849278,0.21593540563193359
AAPL,PRICE+TECH+LAG,35,6,test,121,0.004924432347901839,0.006250542494215001,0.21827500543817757
AAPL,ALL_NO_MACRO,43,6,test,121,0.004811024934819858,0.006469461947189375,0.16255768896375167
AAPL,ALL_NO_REGIME,48,6,test,121,0.00558036134275863,0.007549940389980504,-0.1405271273734674
AAPL,ALL_FULL,56,6,test,121,0.005857291129714126,0.007888224393592123,-0.24502217494814005
AAPL,PRICE_ONLY,5,7,test,121,0.008327049837124945,0.010500317842353066,-0.9649790830604925
AAPL,PRICE+TECH,30,7,test,121,0.005534280026787832,0.007153017203550845,0.08813282949292556
AAPL,PRICE+TECH+LAG,35,7,test,121,0.0055774555420480924,0.007205646785326884,0.07466501912712253
AAPL,ALL_NO_MACRO,43,7,test,121,0.006492125660952335,0.008034276120597645,-0.15039384125987953
AAPL,ALL_NO_REGIME,48,7,test,121,0.006944022253634157,0.008686770046000273,-0.34483713090541523
AAPL,ALL_FULL,56,7,test,121,0.00839024848014781,0.010483370225039968,-0.9586412103638204
AAPL,PRICE_ONLY,5,8,test,121,0.008211904080382559,0.011247967892192607,-0.6126886640424063
AAPL,PRICE+TECH,30,8,test,121,0.007189075820151938,0.009190361227175713,-0.07663268594597561
AAPL,PRICE+TECH+LAG,35,8,test,121,0.007126815627558756,0.009132150089262285,-0.06303723914425152
AAPL,ALL_NO_MACRO,43,8,test,121,0.007449240526872238,0.009138281803174499,-0.06446525521419444
AAPL,ALL_NO_REGIME,48,8,test,121,0.007629784816798777,0.009180576296574202,-0.07434133575986168
AAPL,ALL_FULL,56,8,test,121,0.008708321948391048,0.010356837026272958,-0.3672775465910243
AAPL,PRICE_ONLY,5,9,test,121,0.00612328778133225,0.008449713016075907,-0.4192367188959141
AAPL,PRICE+TECH,30,9,test,121,0.00513527023999073,0.006448554217208169,0.1733995599816348
AAPL,PRICE+TECH+LAG,35,9,test,121,0.005087893410340212,0.006374703410441076,0.1922241069213807
AAPL,ALL_NO_MACRO,43,9,test,121,0.0051883928363939125,0.006513296258987609,0.15671847403826478
AAPL,ALL_NO_REGIME,48,9,test,121,0.005596304602651412,0.0067868148776099434,0.0844060224791412
AAPL,ALL_FULL,56,9,test,121,0.0058769541874726565,0.007054122000239171,0.01086207447593135
AAPL,PRICE_ONLY,5,10,test,121,0.005691320872329148,0.006306422808305531,-1.5819150953291898
AAPL,PRICE+TECH,30,10,test,121,0.004891849877670516,0.00538820815615241,-0.8847967230767362
AAPL,PRICE+TECH+LAG,35,10,test,121,0.0047282167704940405,0.005227577573578385,-0.7740945447603411
AAPL,ALL_NO_MACRO,43,10,test,121,0.005080632227745674,0.005630333519972614,-1.057993654446522
AAPL,ALL_NO_REGIME,48,10,test,121,0.00522744900060013,0.005742842651596771,-1.1410638680694523
AAPL,ALL_FULL,56,10,test,121,0.005538874111387641,0.006122126136135877,-1.4332141572267374
AAPL,PRICE_ONLY,5,11,test,121,0.005417270118514254,0.005903092549404888,-1.2579397577819433
AAPL,PRICE+TECH,30,11,test,121,0.005152504753166294,0.005642928976836988,-1.0632997932224666
AAPL,PRICE+TECH+LAG,35,11,test,121,0.005104997536753533,0.005578459519350413,-1.0164234440817728
AAPL,ALL_NO_MACRO,43,11,test,121,0.005371341044618316,0.005903629611206892,-1.258350629997961
AAPL,ALL_NO_REGIME,48,11,test,121,0.0056990617937219355,0.006221889678611305,-1.5084056994495536
AAPL,ALL_FULL,56,11,test,121,0.005681103173704316,0.006301933543163616,-1.5733615304877309
AAPL,PRICE_ONLY,5,12,test,121,0.005194176988002251,0.00596011185359931,-1.3425492860046662
AAPL,PRICE+TECH,30,12,test,121,0.004801725529846536,0.005571112593508529,-1.046745235058756
AAPL,PRICE+TECH+LAG,35,12,test,121,0.004819218594033046,0.005588878710945028,-1.0598200725976277
AAPL,ALL_NO_MACRO,43,12,test,121,0.00491335116883901,0.0056714702618849925,-1.121149285097458
AAPL,ALL_NO_REGIME,48,12,test,121,0.005113895204928919,0.005825868973470799,-1.238212631312411
AAPL,ALL_FULL,56,12,test,121,0.0049750240790276245,0.005789008934443797,-1.2099800650434855
AAPL,PRICE_ONLY,5,13,test,121,0.005285416456107421,0.006080139362580811,-0.4956392307936792
AAPL,PRICE+TECH,30,13,test,121,0.0047812985747640565,0.005705644097347597,-0.31707084638778826
AAPL,PRICE+TECH+LAG,35,13,test,121,0.004780490438764746,0.005698577311224114,-0.3138103226338689
AAPL,ALL_NO_MACRO,43,13,test,121,0.004840455249933937,0.005688520863523893,-0.30917737442954807
AAPL,ALL_NO_REGIME,48,13,test,121,0.004725206136991994,0.005565837122830451,-0.25331652757795053
AAPL,ALL_FULL,56,13,test,121,0.004801866260267669,0.00567505487526247,-0.30298648534919237
AAPL,PRICE_ONLY,5,14,test,121,0.005621168642413488,0.007389291667146258,-0.21466101860006326
AAPL,PRICE+TECH,30,14,test,121,0.005521188339491011,0.007335332848681877,-0.1969861523514178
AAPL,PRICE+TECH+LAG,35,14,test,121,0.005466474628762591,0.0072694083647773635,-0.17556760167013818
AAPL,ALL_NO_MACRO,43,14,test,121,0.005458884848783368,0.006928394557768923,-0.06786093576042074
AAPL,ALL_NO_REGIME,48,14,test,121,0.005456917471738237,0.0071196237892032265,-0.12762206855497626
AAPL,ALL_FULL,56,14,test,121,0.005481187437590902,0.006940262890409996,-0.07152255858987866
AAPL,PRICE_ONLY,5,15,test,121,0.004806838654665347,0.006547294310135184,-0.16576808125702103
AAPL,PRICE+TECH,30,15,test,121,0.005289442396317479,0.007239094385814965,-0.42513797088930994
AAPL,PRICE+TECH+LAG,35,15,test,121,0.005300266271449368,0.0072300096689363064,-0.4215632554975528
AAPL,ALL_NO_MACRO,43,15,test,121,0.005186735423671504,0.006953941463615882,-0.31507491687467337
AAPL,ALL_NO_REGIME,48,15,test,121,0.005280664978581094,0.007036406957876849,-0.3464503138853938
AAPL,ALL_FULL,56,15,test,121,0.00525667836803169,0.006977994454063994,-0.32418807655711324
AAPL,PRICE_ONLY,5,16,test,121,0.004174806120794357,0.005447574954664487,-0.2598352581829537
AAPL,PRICE+TECH,30,16,test,121,0.00406126685938145,0.005449554386711378,-0.260750972558943
AAPL,PRICE+TECH+LAG,35,16,test,121,0.004082294917199334,0.00549967931515637,-0.2840503770257059
AAPL,ALL_NO_MACRO,43,16,test,121,0.004267847600957268,0.005597313291675739,-0.3300456927276294
AAPL,ALL_NO_REGIME,48,16,test,121,0.0041668195986806844,0.005517267256220035,-0.29227627984261506
AAPL,ALL_FULL,56,16,test,121,0.004339296394436244,0.005638474694535097,-0.3496793421978268
AAPL,PRICE_ONLY,5,17,test,121,0.008960954463971642,0.015746911231357616,-0.194572195959676
AAPL,PRICE+TECH,30,17,test,121,0.008438694493861316,0.014154873768647788,0.03476370250727834
AAPL,PRICE+TECH+LAG,35,17,test,121,0.008463504963698276,0.014272851319375095,0.018606613171145314
AAPL,ALL_NO_MACRO,43,17,test,121,0.007751708128125371,0.012691094518466187,0.2240749001423915
AAPL,ALL_NO_REGIME,48,17,test,121,0.0077023377912071485,0.012851650242712166,0.20431817303058852
AAPL,ALL_FULL,56,17,test,121,0.00749411039071706,0.012434684136156539,0.25511168883106794
AAPL,PRICE_ONLY,5,18,test,121,0.00871645498319188,0.015006550807367137,-0.03967443010528271
AAPL,PRICE+TECH,30,18,test,121,0.00958960990969844,0.014567132898184919,0.020321083303939447
AAPL,PRICE+TECH+LAG,35,18,test,121,0.009628597297691168,0.014562879149057534,0.020893151935177823
AAPL,ALL_NO_MACRO,43,18,test,121,0.008424597404380015,0.012933059119689613,0.22778519670425668
AAPL,ALL_NO_REGIME,48,18,test,121,0.008577627441198363,0.013344519004342803,0.17786820169548112
AAPL,ALL_FULL,56,18,test,121,0.00805281095752901,0.01264695547265356,0.2615729861308922
AAPL,PRICE_ONLY,5,19,test,121,0.004971786340785828,0.005792764974707415,-0.001072637299259771
AAPL,PRICE+TECH,30,19,test,121,0.005279044915511691,0.006057427937687283,-0.09463740944381627
AAPL,PRICE+TECH+LAG,35,19,test,121,0.0052695323611143706,0.0060373866482404705,-0.08740607164897929
AAPL,ALL_NO_MACRO,43,19,test,121,0.005168489084096746,0.005896737976057611,-0.03733118453859907
AAPL,ALL_NO_REGIME,48,19,test,121,0.005152142277025091,0.0058869837249329576,-0.03390216323597239
AAPL,ALL_FULL,56,19,test,121,0.005132089588559533,0.005884208563655741,-0.03292761698556057
AAPL,PRICE_ONLY,5,20,test,121,0.004507060138510845,0.005113234637647177,0.0016281058389473468
AAPL,PRICE+TECH,30,20,test,121,0.0049678784606603,0.005554268295468476,-0.17802528024647013
AAPL,PRICE+TECH+LAG,35,20,test,121,0.0049045062612684195,0.0054874761727645395,-0.1498632578084642
AAPL,ALL_NO_MACRO,43,20,test,121,0.004859608047016537,0.0054523677120145095,-0.13519684800568021
AAPL,ALL_NO_REGIME,48,20,test,121,0.004870634589162824,0.0054500605036739425,-0.1342363179676349
AAPL,ALL_FULL,56,20,test,121,0.004789179103772841,0.0053900665004709475,-0.10940252167359077
AAPL,PRICE_ONLY,5,21,test,121,0.004335182284806348,0.005381965912116551,-0.03958895243213867
AAPL,PRICE+TECH,30,21,test,121,0.004563791739599687,0.0055574370867858824,-0.10848259940753668
AAPL,PRICE+TECH+LAG,35,21,test,121,0.004543701601100639,0.005547896005245107,-0.1046797514081419
AAPL,ALL_NO_MACRO,43,21,test,121,0.004995412823708231,0.006000869110736733,-0.29243311929121774
AAPL,ALL_NO_REGIME,48,21,test,121,0.0049225810551135505,0.005889518932076905,-0.2449141823421619
AAPL,ALL_FULL,56,21,test,121,0.005133522034043934,0.006100764283539504,-0.3358209827731975
TSLA,PRICE_ONLY,5,0,test,121,0.015833341876804026,0.022435239803379328,-0.02557600164351581
TSLA,PRICE+TECH,30,0,test,121,0.016241523525543772,0.02332204649659358,-0.10825508259036698
TSLA,PRICE+TECH+LAG,35,0,test,121,0.016251444317607076,0.023370105334827754,-0.11282726528024467
TSLA,ALL_NO_MACRO,43,0,test,121,0.016211665566009528,0.02324509681367033,-0.10095390605635912
TSLA,ALL_NO_REGIME,48,0,test,121,0.017067272610809973,0.024375207641084348,-0.21060667969617564
TSLA,ALL_FULL,56,0,test,121,0.016997632649206597,0.024274075785209712,-0.2005819922055141
TSLA,PRICE_ONLY,5,1,test,121,0.02255882909756552,0.025281567880215898,-1.5670222391806172
TSLA,PRICE+TECH,30,1,test,121,0.03518169408235748,0.037587827241986546,-4.674349313080894
TSLA,PRICE+TECH+LAG,35,1,test,121,0.03533009668504205,0.03780870221975484,-4.741232891007878
TSLA,ALL_NO_MACRO,43,1,test,121,0.025525263082678218,0.02829459715302219,-2.2153529556097644
