symbol,split,model,n_rows,mae,rmse,r2,diracc,posrate
AAPL,test,BASELINE_ZERO,269,0.012451116410088102,0.019928233975821927,-0.00045931584537872716,0.5204460966542751,0.5204460966542751
AAPL,test,BASELINE_MEAN_TRAIN,269,0.01244154903539103,0.01992926055720875,-0.000562393656179383,0.5204460966542751,0.5204460966542751
AAPL,test,RIDGE(alpha=3.0),269,0.01275619590423685,0.02018158715109294,-0.0260592520041516,0.4423791821561338,0.5204460966542751
AAPL,test,RF,269,0.01453237167190352,0.021238594123795907,-0.13635319242505828,0.4721189591078067,0.5204460966542751
AAPL,test,HGB,269,0.015122532479795975,0.021578107074140433,-0.1729742898052371,0.44981412639405205,0.5204460966542751
AAPL,test,BASELINE_NAIVE_RETURN1D,269,0.016836041113557878,0.02760193105972396,-0.9192906121086193,0.5278810408921933,0.5204460966542751
AAPL,val,BASELINE_MEAN_TRAIN,502,0.010043013687345333,0.01349076067313717,-0.0014994599957318666,0.5637450199203188,0.5637450199203188
AAPL,val,BASELINE_ZERO,502,0.010122077162849094,0.0135553964114068,-0.011119040274920167,0.5637450199203188,0.5637450199203188
AAPL,val,RIDGE(alpha=3.0),502,0.010218927287673533,0.013701779377216951,-0.033074838989037625,0.5119521912350598,0.5637450199203188
AAPL,val,HGB,502,0.011608110935665421,0.014975986065987613,-0.23415213313918293,0.4760956175298805,0.5637450199203188
AAPL,val,RF,502,0.01184518256047125,0.015178920337685396,-0.26782586315922785,0.448207171314741,0.5637450199203188
AAPL,val,BASELINE_NAIVE_RETURN1D,502,0.01418507376193125,0.01851946942817128,-0.8872738572893908,0.5179282868525896,0.5637450199203188
TSLA,test,BASELINE_MEAN_TRAIN,269,0.028414874536192396,0.03887890957721941,-0.00013204087888496474,0.49814126394052044,0.49814126394052044
TSLA,test,BASELINE_ZERO,269,0.0283702046055879,0.03889550805057312,-0.0009861907946615567,0.49814126394052044,0.49814126394052044
