symbol,fold,hyperparam_kind,n_estimators,max_depth,min_samples_leaf,rmse,mae,r2,train_seconds,predict_seconds,n_train,n_test
AAPL,0,n_estimators,100,12,10,0.011083603725282038,0.008567341408731987,-0.2585923050685326,0.0539,0.0136,1200,126
AAPL,0,n_estimators,250,12,10,0.010993357428112657,0.008502882483469967,-0.23818001282791434,0.0857,0.0112,1200,126
AAPL,0,n_estimators,500,12,10,0.010949466274118809,0.00847764341636579,-0.22831284294216214,0.1684,0.0264,1200,126
AAPL,0,n_estimators,1000,12,10,0.010991249629306879,0.008513789513325315,-0.23770525629013428,0.328,0.0529,1200,126
AAPL,0,max_depth,500,6,10,0.01094207748972658,0.008497652716991105,-0.22665565229080542,0.1415,0.0269,1200,126
AAPL,0,max_depth,500,9,10,0.01088027954481306,0.00846980428561128,-0.21283912872405453,0.1662,0.0262,1200,126
AAPL,0,max_depth,500,12,10,0.010949466274118809,0.008477643416365786,-0.22831284294216214,0.1634,0.0265,1200,126
AAPL,0,max_depth,500,15,10,0.010931310983083671,0.008497207272875689,-0.22424289314193313,0.1767,0.0271,1200,126
AAPL,0,max_depth,500,None,10,0.010934826336851318,0.008509531721595973,-0.22503041787145905,0.1754,0.0268,1200,126
AAPL,0,min_samples_leaf,500,12,5,0.01109878867965765,0.00853348606726081,-0.2620433051323121,0.2038,0.0255,1200,126
AAPL,0,min_samples_leaf,500,12,10,0.010949466274118809,0.00847764341636579,-0.22831284294216192,0.1676,0.0256,1200,126
AAPL,0,min_samples_leaf,500,12,20,0.010669807626009678,0.00831542993970675,-0.16636981230366144,0.1584,0.0266,1200,126
AAPL,0,min_samples_leaf,500,12,50,0.010701811910202978,0.008298228861756737,-0.17337740166521143,0.1449,0.0271,1200,126
AAPL,1,n_estimators,100,12,10,0.009620090851732573,0.007094468515246349,-0.15311566557082013,0.0346,0.0114,1263,126
AAPL,1,n_estimators,250,12,10,0.009442829126439036,0.006978086059196914,-0.11101209553223379,0.0833,0.0122,1263,126
AAPL,1,n_estimators,500,12,10,0.009498499542015839,0.007033101948536029,-0.12415070574613196,0.1767,0.0264,1263,126
AAPL,1,n_estimators,1000,12,10,0.009498101314654528,0.007027730537670499,-0.12405644703021834,0.3248,0.0522,1263,126
AAPL,1,max_depth,500,6,10,0.009409364994455464,0.006980526413857989,-0.10315149018045533,0.1527,0.0261,1263,126
AAPL,1,max_depth,500,9,10,0.009346410504347605,0.006905524819895093,-0.08843933619867461,0.1681,0.0249,1263,126
AAPL,1,max_depth,500,12,10,0.009498499542015839,0.007033101948536029,-0.12415070574613196,0.1757,0.0263,1263,126
AAPL,1,max_depth,500,15,10,0.009405727253455384,0.006966828754177674,-0.10229867945807225,0.1694,0.0265,1263,126
AAPL,1,max_depth,500,None,10,0.009385421487762172,0.00694974490976896,-0.09754437241407876,0.1679,0.0259,1263,126
AAPL,1,min_samples_leaf,500,12,5,0.009429780895261463,0.006923296345513277,-0.10794379331678594,0.1864,0.0265,1263,126
AAPL,1,min_samples_leaf,500,12,10,0.009498499542015839,0.007033101948536029,-0.12415070574613196,0.1769,0.0254,1263,126
AAPL,1,min_samples_leaf,500,12,20,0.009568261547461755,0.007084707931487469,-0.14072405974494928,0.162,0.0245,1263,126
AAPL,1,min_samples_leaf,500,12,50,0.009576514917466751,0.007097862179369886,-0.1426928349918104,0.1475,0.0262,1263,126
AAPL,2,n_estimators,100,12,10,0.0064224989190028265,0.005378008447604259,-0.11454303540800392,0.045,0.0132,1326,126
AAPL,2,n_estimators,250,12,10,0.006419941018753775,0.005359047763939047,-0.11365543006022327,0.0853,0.0127,1326,126
AAPL,2,n_estimators,500,12,10,0.006438048348680945,0.0053776726011139355,-0.11994638015185588,0.1725,0.0254,1326,126
AAPL,2,n_estimators,1000,12,10,0.0064644220761719395,0.005399802540896448,-0.12914098669189134,0.3508,0.0496,1326,126
AAPL,2,max_depth,500,6,10,0.00635335579265454,0.0053180227289770735,-0.09067439181895764,0.178,0.0249,1326,126
AAPL,2,max_depth,500,9,10,0.006421565881738881,0.005368563795127054,-0.11421922542057183,0.1708,0.0252,1326,126
AAPL,2,max_depth,500,12,10,0.006438048348680946,0.005377672601113936,-0.1199463801518561,0.1778,0.0266,1326,126
AAPL,2,max_depth,500,15,10,0.006421662757938611,0.00536119916257292,-0.11425284405515956,0.1807,0.0261,1326,126
AAPL,2,max_depth,500,None,10,0.006446274604208468,0.00539884007265254,-0.12281024527436757,0.1914,0.0261,1326,126
AAPL,2,min_samples_leaf,500,12,5,0.007005705636986944,0.005863229908685218,-0.32614964508710154,0.1818,0.0259,1326,126
AAPL,2,min_samples_leaf,500,12,10,0.006438048348680946,0.005377672601113936,-0.1199463801518561,0.1854,0.0259,1326,126
AAPL,2,min_samples_leaf,500,12,20,0.006411680714997782,0.005349778968259281,-0.11079147414187474,0.1693,0.0262,1326,126
AAPL,2,min_samples_leaf,500,12,50,0.007103967508863696,0.005922512875989148,-0.3636116269414085,0.1512,0.0247,1326,126
AAPL,3,n_estimators,100,12,10,0.010303397429407099,0.009391140295632022,-1.8494256492125007,0.0568,0.0137,1389,126
AAPL,3,n_estimators,250,12,10,0.010601231044415543,0.009664495941692212,-2.016539555729519,0.096,0.0138,1389,126
AAPL,3,n_estimators,500,12,10,0.010211271465724384,0.009278893325152594,-1.798698205116004,0.1777,0.0243,1389,126
AAPL,3,n_estimators,1000,12,10,0.010035132494128202,0.009103239994295634,-1.7029788466324187,0.3647,0.0505,1389,126
AAPL,3,max_depth,500,6,10,0.009339749865126597,0.008425143521677085,-1.341353105230373,0.1605,0.0254,1389,126
AAPL,3,max_depth,500,9,10,0.010016249414307048,0.009080049087322014,-1.6928160423239476,0.1793,0.0268,1389,126
AAPL,3,max_depth,500,12,10,0.010211271465724385,0.009278893325152594,-1.798698205116005,0.1752,0.0258,1389,126
AAPL,3,max_depth,500,15,10,0.010004839634415116,0.00907996215920524,-1.6866846177669106,0.1893,0.0267,1389,126
AAPL,3,max_depth,500,None,10,0.010126924467987988,0.009209987925563472,-1.7526536288153367,0.1851,0.0265,1389,126
AAPL,3,min_samples_leaf,500,12,5,0.01138147195606685,0.010384947833560903,-2.4769087301092423,0.2069,0.0247,1389,126
AAPL,3,min_samples_leaf,500,12,10,0.010211271465724385,0.009278893325152592,-1.798698205116005,0.1855,0.0237,1389,126
AAPL,3,min_samples_leaf,500,12,20,0.00822393494105318,0.007291343332837765,-0.8153307205337297,0.1715,0.0265,1389,126
AAPL,3,min_samples_leaf,500,12,50,0.0067124318474156815,0.005856592654304646,-0.20936168100094066,0.1716,0.0242,1389,126
AAPL,4,n_estimators,100,12,10,0.01489703831174363,0.01443790057805287,-15.531114982424125,0.0456,0.0138,1452,126
AAPL,4,n_estimators,250,12,10,0.015267753683436441,0.014816381766475645,-16.36411153994757,0.0994,0.0142,1452,126
AAPL,4,n_estimators,500,12,10,0.01503966118505913,0.014579204808013653,-15.849164965523617,0.1934,0.0269,1452,126
AAPL,4,n_estimators,1000,12,10,0.015212152749833754,0.014756382854694237,-16.237871247860323,0.3856,0.0413,1452,126
AAPL,4,max_depth,500,6,10,0.015068748208813269,0.014613056282428625,-15.914401273679069,0.1564,0.0243,1452,126
AAPL,4,max_depth,500,9,10,0.01519111745045377,0.01473413776746852,-16.190231300397773,0.1825,0.0246,1452,126
AAPL,4,max_depth,500,12,10,0.01503966118505913,0.014579204808013653,-15.849164965523613,0.1824,0.0264,1452,126
AAPL,4,max_depth,500,15,10,0.015396694263134916,0.014946484567140901,-16.65863985045184,0.1885,0.0279,1452,126
AAPL,4,max_depth,500,None,10,0.015346211317232645,0.014895664597646359,-16.54303078819258,0.1921,0.0264,1452,126
AAPL,4,min_samples_leaf,500,12,5,0.01952630959530008,0.019153623199051343,-27.401587733363385,0.1942,0.0271,1452,126
AAPL,4,min_samples_leaf,500,12,10,0.015039661185059129,0.014579204808013647,-15.84916496552361,0.1874,0.0269,1452,126
AAPL,4,min_samples_leaf,500,12,20,0.012029807553572504,0.011447034773379227,-9.780021744235528,0.182,0.0267,1452,126
AAPL,4,min_samples_leaf,500,12,50,0.009149461627454475,0.008405366768040653,-5.235816939473388,0.1615,0.0258,1452,126
AAPL,5,n_estimators,100,12,10,0.007507642491068379,0.0065852576560467575,-0.8714432268771799,0.0462,0.0138,1515,126
AAPL,5,n_estimators,250,12,10,0.007358752304371782,0.006415915481745333,-0.7979510306864601,0.0957,0.0117,1515,126
AAPL,5,n_estimators,500,12,10,0.007344716005485954,0.0064041823696126335,-0.7910986436204868,0.187,0.0268,1515,126
AAPL,5,n_estimators,1000,12,10,0.007399202550696071,0.006467461645679984,-0.8177716325304614,0.3627,0.0513,1515,126
AAPL,5,max_depth,500,6,10,0.007516612214360979,0.00657657095358076,-0.875917695558686,0.1674,0.0267,1515,126
AAPL,5,max_depth,500,9,10,0.007374859814855378,0.006432649685957127,-0.8058306846249188,0.1785,0.0254,1515,126
AAPL,5,max_depth,500,12,10,0.007344716005485955,0.0064041823696126335,-0.791098643620487,0.1851,0.0264,1515,126
AAPL,5,max_depth,500,15,10,0.007549835952762852,0.006610990516626303,-0.8925376132933971,0.1875,0.0267,1515,126
AAPL,5,max_depth,500,None,10,0.007632688969840783,0.006686410679458929,-0.9343035109457205,0.1945,0.0267,1515,126
AAPL,5,min_samples_leaf,500,12,5,0.007809150138705161,0.006842802334722338,-1.0247762344662323,0.2059,0.026,1515,126
AAPL,5,min_samples_leaf,500,12,10,0.007344716005485954,0.0064041823696126335,-0.7910986436204868,0.1833,0.0263,1515,126
AAPL,5,min_samples_leaf,500,12,20,0.007222299256644721,0.006254399691793913,-0.7318905734486887,0.1809,0.0271,1515,126
AAPL,5,min_samples_leaf,500,12,50,0.007093538389604917,0.0061549200174066026,-0.6706879348147949,0.1761,0.0252,1515,126
AAPL,6,n_estimators,100,12,10,0.006305841498398134,0.005040141187231197,0.2235243042173759,0.0469,0.0138,1578,126
AAPL,6,n_estimators,250,12,10,0.006320949493701194,0.005064036402329108,0.21979917279749306,0.0971,0.0124,1578,126
AAPL,6,n_estimators,500,12,10,0.006321439421949067,0.005100461025462545,0.21967822348815647,0.1973,0.0239,1578,126
AAPL,6,n_estimators,1000,12,10,0.006328810350302533,0.00510988269183237,0.21785742008531583,0.3693,0.0513,1578,126
AAPL,6,max_depth,500,6,10,0.006291413410247761,0.005115506779150648,0.2270734715096634,0.1741,0.0263,1578,126
AAPL,6,max_depth,500,9,10,0.006283888879373412,0.005081141078554632,0.22892120626626433,0.1743,0.0254,1578,126
AAPL,6,max_depth,500,12,10,0.006321439421949067,0.005100461025462545,0.21967822348815658,0.1924,0.0247,1578,126
AAPL,6,max_depth,500,15,10,0.006288394421095676,0.005087633091934656,0.22781508449486454,0.2002,0.0266,1578,126
AAPL,6,max_depth,500,None,10,0.0063261511061868695,0.0051236116632774435,0.21851456446775497,0.2223,0.027,1578,126
