symbol,max_depth,rmse,mae,r2
AAPL,12,0.00823 ± 0.00264,0.00668,-1.180
AAPL,15,0.00821 ± 0.00270,0.00667,-1.183
AAPL,6,0.00803 ± 0.00271,0.00649,-1.051
AAPL,9,0.00818 ± 0.00266,0.00664,-1.159
AAPL,None,0.00823 ± 0.00270,0.00669,-1.189
TSLA,12,0.01699 ± 0.00539,0.01371,-0.380
TSLA,15,0.01700 ± 0.00545,0.01371,-0.380
TSLA,6,0.01688 ± 0.00550,0.01365,-0.352
TSLA,9,0.01696 ± 0.00542,0.01368,-0.366
TSLA,None,0.01702 ± 0.00547,0.01374,-0.385
^GSPC,12,0.00430 ± 0.00183,0.00331,-0.244
^GSPC,15,0.00432 ± 0.00186,0.00333,-0.258
^GSPC,6,0.00418 ± 0.00189,0.00319,-0.154
^GSPC,9,0.00430 ± 0.00188,0.00331,-0.243
^GSPC,None,0.00430 ± 0.00184,0.00332,-0.251
^IXIC,12,0.00545 ± 0.00177,0.00433,-0.289
^IXIC,15,0.00548 ± 0.00178,0.00435,-0.309
^IXIC,6,0.00531 ± 0.00182,0.00417,-0.187
^IXIC,9,0.00545 ± 0.00176,0.00432,-0.287
^IXIC,None,0.00547 ± 0.00178,0.00434,-0.297
