symbol,rmse,mae,r2,model
AAPL,0.00823 ± 0.00260,0.00668,-1.180,ExtraTrees
AAPL,0.00919 ± 0.00235,0.00767,-1.926,HGB
AAPL,0.00802 ± 0.00209,0.00650,-0.987,LGBM
AAPL,0.00791 ± 0.00210,0.00638,-0.904,XGB
TSLA,0.01699 ± 0.00531,0.01371,-0.380,ExtraTrees
TSLA,0.01574 ± 0.00345,0.01248,-0.555,HGB
TSLA,0.01471 ± 0.00311,0.01165,-0.321,LGBM
TSLA,0.01484 ± 0.00316,0.01150,-0.380,XGB
^GSPC,0.00430 ± 0.00180,0.00331,-0.244,ExtraTrees
^GSPC,0.00488 ± 0.00170,0.00373,-1.218,HGB
^GSPC,0.00392 ± 0.00146,0.00297,-0.302,LGBM
^GSPC,0.00403 ± 0.00153,0.00306,-0.424,XGB
^IXIC,0.00545 ± 0.00175,0.00433,-0.289,ExtraTrees
^IXIC,0.00545 ± 0.00159,0.00430,-0.599,HGB
^IXIC,0.00495 ± 0.00163,0.00384,-0.224,LGBM
^IXIC,0.00496 ± 0.00160,0.00386,-0.252,XGB
