symbol,method,ece,brier,log_loss,auc
AAPL,isotonic,0.1379 ± 0.0819,0.2738,0.9164,0.493
AAPL,no_cal,0.2986 ± 0.1129,0.3509,1.0390,0.479
AAPL,platt,0.0994 ± 0.0718,0.2580,0.7106,0.471
TSLA,isotonic,0.1607 ± 0.1132,0.2848,1.2299,0.498
TSLA,no_cal,0.2840 ± 0.1110,0.3388,0.9801,0.506
TSLA,platt,0.1460 ± 0.0880,0.2714,0.7516,0.485
^GSPC,isotonic,0.1430 ± 0.0946,0.2685,1.0369,0.507
^GSPC,no_cal,0.3731 ± 0.1336,0.3951,1.2095,0.506
^GSPC,platt,0.1138 ± 0.0674,0.2484,0.6919,0.506
^IXIC,isotonic,0.1369 ± 0.0843,0.2690,0.9121,0.511
^IXIC,no_cal,0.3262 ± 0.1266,0.3650,1.0895,0.509
^IXIC,platt,0.1135 ± 0.0741,0.2550,0.7061,0.497
