component,symbol,mean,std
csv_read_predictions,AAPL,0.659,0.518
csv_read_predictions,TSLA,0.566,0.051
csv_read_predictions,^GSPC,0.562,0.041
csv_read_predictions,^IXIC,0.577,0.096
db_latest_features,AAPL,0.538,0.296
db_latest_features,TSLA,0.569,0.288
db_latest_features,^GSPC,0.546,0.298
db_latest_features,^IXIC,0.534,0.278
db_max_date,AAPL,0.618,1.306
db_max_date,TSLA,0.512,0.299
db_max_date,^GSPC,0.439,0.135
db_max_date,^IXIC,0.469,0.197
get_prediction_cached,AAPL,0.39,0.061
get_prediction_cached,TSLA,0.407,0.08
get_prediction_cached,^GSPC,0.389,0.05
get_prediction_cached,^IXIC,0.389,0.04
shap_json_load,AAPL,0.021,0.014
shap_json_load,TSLA,0.024,0.006
shap_json_load,^GSPC,0.018,0.002
shap_json_load,^IXIC,0.038,0.108
