symbol,mode,fold,split,task,horizon_days,model,n_rows,mae,rmse,r2,extra
AAPL,walk,0,val,return,20,BASELINE_ZERO,106,0.11501195221956816,0.1319166532976031,-0.024777002109484192,
AAPL,walk,0,test,return,20,BASELINE_ZERO,106,0.0846373134782563,0.11123898121491341,-0.26133723003746434,
AAPL,walk,0,val,return,20,BASELINE_MEAN_TRAIN,106,0.11099912964970886,0.13052713611185998,-0.003302142006754716,mean=0.0130238
AAPL,walk,0,test,return,20,BASELINE_MEAN_TRAIN,106,0.07988182519661335,0.10594734095406284,-0.14418785060340733,mean=0.0130238
AAPL,walk,0,val,return,20,RIDGE,106,0.1904838069288958,0.2446760219968004,-2.525436875955425,alpha=5.0
AAPL,walk,0,test,return,20,RIDGE,106,0.2953453616974665,0.3625420604978593,-12.39781592704244,alpha=5.0
AAPL,walk,0,val,return,20,ELASTICNET,106,0.18153017277298983,0.23340263334495873,-2.2080536611823667,alpha=1e-3 l1=0.2
AAPL,walk,0,test,return,20,ELASTICNET,106,0.27482649624565164,0.3379895838771254,-10.64458035580103,alpha=1e-3 l1=0.2
AAPL,walk,0,val,return,20,HGB,106,0.14058988234820977,0.16903349410675222,-0.6825797532378395,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,0,test,return,20,HGB,106,0.17176394626620123,0.19939500073252306,-3.0527119788563875,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,1,val,return,20,BASELINE_ZERO,106,0.11956709332636713,0.13311338135742296,-1.9538317971635557,
AAPL,walk,1,test,return,20,BASELINE_ZERO,106,0.057555644158950786,0.07060658395559678,-0.015913397921328842,
AAPL,walk,1,val,return,20,BASELINE_MEAN_TRAIN,106,0.10977266055855672,0.12358809956154167,-1.5462183180751752,mean=0.0119527
AAPL,walk,1,test,return,20,BASELINE_MEAN_TRAIN,106,0.05540030439134765,0.07012066579246572,-0.0019783771461410193,mean=0.0119527
AAPL,walk,1,val,return,20,RIDGE,106,0.2907809238203846,0.30817511831547145,-14.832061670078769,alpha=5.0
AAPL,walk,1,test,return,20,RIDGE,106,0.31836230770998736,0.3527040786350803,-24.350542115920074,alpha=5.0
AAPL,walk,1,val,return,20,ELASTICNET,106,0.2924314938718719,0.30963501445402436,-14.982417169281252,alpha=1e-3 l1=0.2
AAPL,walk,1,test,return,20,ELASTICNET,106,0.3218495340114661,0.35487914045838526,-24.664170541455423,alpha=1e-3 l1=0.2
AAPL,walk,1,val,return,20,HGB,106,0.2538014216314321,0.26564644014895933,-10.763873099037209,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,1,test,return,20,HGB,106,0.17478071605057346,0.19393308040219365,-6.664257348517872,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,2,val,return,20,BASELINE_ZERO,106,0.0846373134782563,0.11123898121491341,-0.26133723003746434,
AAPL,walk,2,test,return,20,BASELINE_ZERO,106,0.059836202044485774,0.0699225309070316,-0.004390323281254993,
AAPL,walk,2,val,return,20,BASELINE_MEAN_TRAIN,106,0.07927235907565541,0.10518820693638775,-0.12784992094395076,mean=0.0152186
AAPL,walk,2,test,return,20,BASELINE_MEAN_TRAIN,106,0.06059793320846766,0.07253602482027341,-0.08087567546412422,mean=0.0152186
AAPL,walk,2,val,return,20,RIDGE,106,0.12675792815071366,0.15362208631130328,-1.4056061591755875,alpha=5.0
AAPL,walk,2,test,return,20,RIDGE,106,0.09753125253303357,0.11841851858705761,-1.8807627204830584,alpha=5.0
AAPL,walk,2,val,return,20,ELASTICNET,106,0.12347542643459841,0.15153082757467165,-1.3405568784215838,alpha=1e-3 l1=0.2
AAPL,walk,2,test,return,20,ELASTICNET,106,0.09061902607636076,0.11187290340384652,-1.5710946188692119,alpha=1e-3 l1=0.2
AAPL,walk,2,val,return,20,HGB,106,0.14566208177189946,0.1730099360861155,-2.05112008397597,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,2,test,return,20,HGB,106,0.12083447393852223,0.14060401984246595,-3.061287320499921,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,3,val,return,20,BASELINE_ZERO,106,0.057555644158950786,0.07060658395559678,-0.015913397921328842,
AAPL,walk,3,test,return,20,BASELINE_ZERO,106,0.05193790363183635,0.06391859309648647,-0.23718235736579918,
AAPL,walk,3,val,return,20,BASELINE_MEAN_TRAIN,106,0.054779217089175894,0.07082544409438321,-0.02222123876105897,mean=0.0192793
AAPL,walk,3,test,return,20,BASELINE_MEAN_TRAIN,106,0.04780189459366379,0.058121860433232524,-0.022959213546595247,mean=0.0192793
AAPL,walk,3,val,return,20,RIDGE,106,0.09294981397654092,0.11717420498887753,-1.797887954439151,alpha=5.0
AAPL,walk,3,test,return,20,RIDGE,106,0.06632521153861097,0.0868097199234706,-1.2820019640028897,alpha=5.0
AAPL,walk,3,val,return,20,ELASTICNET,106,0.0938168629731592,0.11712332142356785,-1.795458484527444,alpha=1e-3 l1=0.2
AAPL,walk,3,test,return,20,ELASTICNET,106,0.0641357399942113,0.08671894111577755,-1.2772317815135374,alpha=1e-3 l1=0.2
AAPL,walk,3,val,return,20,HGB,106,0.14168315999553308,0.16368081333110857,-4.4596127103863905,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,3,test,return,20,HGB,106,0.15038127376543026,0.16598949996158935,-7.343351433168953,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,4,val,return,20,BASELINE_ZERO,106,0.059836202044485774,0.0699225309070316,-0.004390323281254993,
AAPL,walk,4,test,return,20,BASELINE_ZERO,106,0.05282774543989722,0.06656823935500965,-0.30865297923339496,
AAPL,walk,4,val,return,20,BASELINE_MEAN_TRAIN,106,0.06101869294537178,0.07368708629972612,-0.11545231489345342,mean=0.0190836
AAPL,walk,4,test,return,20,BASELINE_MEAN_TRAIN,106,0.04578690956848609,0.059679254339319476,-0.05180960762695719,mean=0.0190836
AAPL,walk,4,val,return,20,RIDGE,106,0.06725734176662014,0.08345510990851263,-0.43078410760883257,alpha=5.0
AAPL,walk,4,test,return,20,RIDGE,106,0.05109072590037033,0.06444306590427187,-0.22642994253059356,alpha=5.0
AAPL,walk,4,val,return,20,ELASTICNET,106,0.06667534631367149,0.08369382293824981,-0.4389809762205761,alpha=1e-3 l1=0.2
AAPL,walk,4,test,return,20,ELASTICNET,106,0.047763276150624354,0.06108092821495374,-0.10179707077761146,alpha=1e-3 l1=0.2
AAPL,walk,4,val,return,20,HGB,106,0.09780553696240699,0.11640003030769767,-1.7833923387542092,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,4,test,return,20,HGB,106,0.06994318631757543,0.08913295352449745,-1.3462103824653733,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,5,val,return,20,BASELINE_ZERO,106,0.05193790363183635,0.06391859309648647,-0.23718235736579918,
AAPL,walk,5,test,return,20,BASELINE_ZERO,106,0.06105088135803043,0.07423130567267552,-0.10541522103573353,
AAPL,walk,5,val,return,20,BASELINE_MEAN_TRAIN,106,0.04789197168879447,0.05830354072054781,-0.029364445400706485,mean=0.0181393
AAPL,walk,5,test,return,20,BASELINE_MEAN_TRAIN,106,0.0574788689633067,0.07076508912310882,-0.004591171467622113,mean=0.0181393
AAPL,walk,5,val,return,20,RIDGE,106,0.05844909843903165,0.0691294369058159,-0.447122654721402,alpha=5.0
AAPL,walk,5,test,return,20,RIDGE,106,0.06584596852611946,0.07826515886836928,-0.22881975187901493,alpha=5.0
AAPL,walk,5,val,return,20,ELASTICNET,106,0.05547258528913446,0.06554964189766775,-0.30112778360301395,alpha=1e-3 l1=0.2
AAPL,walk,5,test,return,20,ELASTICNET,106,0.062123091843841294,0.0747982312232369,-0.1223644373981756,alpha=1e-3 l1=0.2
AAPL,walk,5,val,return,20,HGB,106,0.06370268975955078,0.07587074550071628,-0.7431228928842886,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,5,test,return,20,HGB,106,0.09825261595124206,0.11345570815839275,-1.5822836355882153,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,6,val,return,20,BASELINE_ZERO,106,0.05282774543989722,0.06656823935500965,-0.30865297923339496,
AAPL,walk,6,test,return,20,BASELINE_ZERO,106,0.06805998566821156,0.0804617183699374,-0.3232853756061247,
AAPL,walk,6,val,return,20,BASELINE_MEAN_TRAIN,106,0.046014761131624275,0.05991442805713094,-0.060115520676129686,mean=0.0180613
AAPL,walk,6,test,return,20,BASELINE_MEAN_TRAIN,106,0.07664199230982172,0.09075735548375206,-0.683598661837671,mean=0.0180613
AAPL,walk,6,val,return,20,RIDGE,106,0.05555029550885962,0.06979222890778379,-0.43848220488596046,alpha=5.0
AAPL,walk,6,test,return,20,RIDGE,106,0.0734731147502422,0.08557637732411263,-0.4968652342300022,alpha=5.0
AAPL,walk,6,val,return,20,ELASTICNET,106,0.052178327699985066,0.06605808824141823,-0.2886719000766145,alpha=1e-3 l1=0.2
