symbol,mode,fold,split,task,horizon_days,model,n_rows,mae,rmse,r2,extra
AAPL,walk,0,val,volatility,10,BASELINE_ZERO,116,0.02727833081217432,0.03319778932628033,-2.078594058114133,
AAPL,walk,0,test,volatility,10,BASELINE_ZERO,116,0.022968483349399684,0.02442264352468756,-7.65517909642919,
AAPL,walk,0,val,volatility,10,BASELINE_MEAN_TRAIN,116,0.01512994876342679,0.023517109523377603,-0.5449057202005099,mean=0.0133116
AAPL,walk,0,test,volatility,10,BASELINE_MEAN_TRAIN,116,0.010119136002707606,0.01273455867444099,-1.3531982428228506,mean=0.0133116
AAPL,walk,0,val,volatility,10,RIDGE,116,0.010930326467517163,0.01663100812957719,0.22737056523137344,alpha=5.0
AAPL,walk,0,test,volatility,10,RIDGE,116,0.010840365425298638,0.013537210311643852,-1.6591881700791888,alpha=5.0
AAPL,walk,0,val,volatility,10,ELASTICNET,116,0.010501756608680236,0.015652461115093205,0.31561676106230196,alpha=1e-3 l1=0.2
AAPL,walk,0,test,volatility,10,ELASTICNET,116,0.010206386239136379,0.01256615398126093,-1.2913713156144797,alpha=1e-3 l1=0.2
AAPL,walk,0,val,volatility,10,HGB,116,0.011779752324139013,0.01842624325830582,0.051564724899409664,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,0,test,volatility,10,HGB,116,0.009805038405976626,0.012562691665188,-1.2901088197376311,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,1,val,volatility,10,BASELINE_ZERO,116,0.02152223825431748,0.0233484758693732,-5.652682652819259,
AAPL,walk,1,test,volatility,10,BASELINE_ZERO,116,0.02002464097505114,0.02082798537274355,-12.218213941097341,
AAPL,walk,1,val,volatility,10,BASELINE_MEAN_TRAIN,116,0.008867657735705416,0.011734127597133378,-0.6802787990740542,mean=0.014056
AAPL,walk,1,test,volatility,10,BASELINE_MEAN_TRAIN,116,0.006891716837272094,0.00827307464083906,-1.0855093151219015,mean=0.014056
AAPL,walk,1,val,volatility,10,RIDGE,116,0.018770522409709507,0.022994163647105912,-5.4523062227837675,alpha=5.0
AAPL,walk,1,test,volatility,10,RIDGE,116,0.04241054545317399,0.044744294538224406,-60.00333513117352,alpha=5.0
AAPL,walk,1,val,volatility,10,ELASTICNET,116,0.011351480851810328,0.01385171201474603,-1.3414594572890022,alpha=1e-3 l1=0.2
AAPL,walk,1,test,volatility,10,ELASTICNET,116,0.027909682646149674,0.02978354446424385,-26.029064232341327,alpha=1e-3 l1=0.2
AAPL,walk,1,val,volatility,10,HGB,116,0.009315423583095846,0.011304675252754083,-0.5595378400317543,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,1,test,volatility,10,HGB,116,0.02058295616106663,0.024665520922943787,-17.53782733419217,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,2,val,volatility,10,BASELINE_ZERO,116,0.022968483349399684,0.02442264352468756,-7.65517909642919,
AAPL,walk,2,test,volatility,10,BASELINE_ZERO,116,0.016111617060496776,0.017004367048155198,-8.78032807934607,
AAPL,walk,2,val,volatility,10,BASELINE_MEAN_TRAIN,116,0.009306073770488997,0.011853043976816658,-1.0386867921935186,mean=0.014508
AAPL,walk,2,test,volatility,10,BASELINE_MEAN_TRAIN,116,0.004550414931137747,0.005668861676553907,-0.08698662881777763,mean=0.014508
AAPL,walk,2,val,volatility,10,RIDGE,116,0.01812128583957228,0.021878347012849166,-5.9457593257344294,alpha=5.0
AAPL,walk,2,test,volatility,10,RIDGE,116,0.024906450974221152,0.027526464798068747,-24.629100221963196,alpha=5.0
AAPL,walk,2,val,volatility,10,ELASTICNET,116,0.014637108187445274,0.018087391022936605,-3.747255134513769,alpha=1e-3 l1=0.2
AAPL,walk,2,test,volatility,10,ELASTICNET,116,0.01950661396702374,0.021419414984625487,-14.518426789070862,alpha=1e-3 l1=0.2
AAPL,walk,2,val,volatility,10,HGB,116,0.01902806429658872,0.022700590330389753,-6.4776480482724885,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,2,test,volatility,10,HGB,116,0.026873605425605823,0.029997161110271047,-29.436365650073316,lr=0.03 depth=3 l2=1.0 leaf=30
