task,horizon_days,symbol,model,metric_name,metric_value,selection_note,saved_at_utc
direction,5,AAPL,HYBRID_VOTING,auc_mean,0.545130739390367,max auc_mean on walk-forward test,2026-03-08T11:48:52.090493+00:00
direction,5,TSLA,HYBRID_VOTING,auc_mean,0.5791223029814152,max auc_mean on walk-forward test,2026-03-08T11:48:52.090493+00:00
direction,5,^GSPC,HYBRID_VOTING,auc_mean,0.5582987394828917,max auc_mean on walk-forward test,2026-03-08T11:48:52.090493+00:00
direction,5,^IXIC,HYBRID_VOTING,auc_mean,0.5685697113940963,max auc_mean on walk-forward test,2026-03-08T11:48:52.090493+00:00
return,5,AAPL,EXTRATREES,rmse_mean,0.0396632147077876,min rmse_mean on walk-forward test,2026-04-05T15:44:17.762783+00:00
return,5,TSLA,EXTRATREES,rmse_mean,0.0873534731733499,min rmse_mean on walk-forward test,2026-04-05T15:44:17.762783+00:00
return,5,^GSPC,EXTRATREES,rmse_mean,0.0238639389663883,min rmse_mean on walk-forward test,2026-04-05T15:44:17.762783+00:00
return,5,^IXIC,EXTRATREES,rmse_mean,0.0304354189219344,min rmse_mean on walk-forward test,2026-04-05T15:44:17.762783+00:00
volatility,5,AAPL,EXTRATREES,rmse_mean,0.0076709160047268,min rmse_mean on walk-forward test,2026-03-08T11:53:36.005966+00:00
volatility,5,TSLA,EXTRATREES,rmse_mean,0.0154902027662151,min rmse_mean on walk-forward test,2026-03-08T11:53:36.005966+00:00
volatility,5,^GSPC,EXTRATREES,rmse_mean,0.0039479908648616,min rmse_mean on walk-forward test,2026-03-08T11:53:36.005966+00:00
volatility,5,^IXIC,EXTRATREES,rmse_mean,0.0050613027042131,min rmse_mean on walk-forward test,2026-03-08T11:53:36.005966+00:00
